"Code","Country_ECDC","Region","Income_group","ACAPS_suppression_number","ACAPS_reference","Description","source","Date_suppression","Date_lastACAPSifnosuppression","WPP_Population","end_exp_growth","deaths_at_end_exponential","cases_at_end_exponential","cases_per_death"
"GRD","Grenada","Latin America & Caribbean","Upper middle income",3,"NA","NA","NA",NA,2020-03-24,112.519,2020-03-24,0,1,NA
"GRL","Greenland","Europe & Central Asia","High income",4,"NA","NA","NA",NA,NA,NA,NA,NA,NA,NA
"GTM","Guatemala","Latin America & Caribbean","Upper middle income",1,"2346","effective Sunday, March 22, a nationwide curfew will take effect. The curfew is from 4:00 p.m. to 4:00 a.m. and is scheduled to be in effect until March 29. Everyone in Guatemala, including foreigners, is expected to remain in their homes during curfew hours. The only exceptions are for police, private security, medical professionals and ambulances, food delivery drivers, and certain other essential personnel. While food delivery service will continue during the curfew, grocery stores are expected to close before the curfew takes effect. The Guatemalan police and security forces will enforce the curfew.","https://gt.usembassy.gov/guatemala-begins-curfew-starting-march-22/",2020-03-22,NA,17915.567,2020-03-22,1,17,NA
"GUM","Guam","East Asia & Pacific","High income",4,"NA","NA","NA",NA,NA,168.783,NA,NA,NA,NA
"GUY","Guyana","Latin America & Caribbean","Upper middle income",4,"NA","NA","NA",NA,NA,786.559,NA,NA,NA,NA
"HKG","Hong Kong SAR, China","East Asia & Pacific","High income",1,"4470","Group gatherings of more than four people in public places are prohibited, from midnight on March 29 for 14 days, until April 11. Twelve types of group gatherings are exempted, including group gatherings for the purposes of or related to transportation, performing any governmental function, at a place of work for the purposes of work, and of persons living in the same household. Offenders are liable to a maximum penalty of a $25,000 fine and imprisonment for six months.","https://www.news.gov.hk/eng/2020/03/20200328/20200328_110413_745.html?type=category&name=covid19&tl=t",2020-04-10,NA,7496.988,NA,NA,NA,NA
"HND","Honduras","Latin America & Caribbean","Lower middle income",1,"2349","On March 16, 2020, the Government of Honduras announced a total curfew in Tegucigalpa, Choluteca and La Ceiba, which was later extended to the entire country until Sunday, March 29, and could potentially be extended after this time. This curfew severely limits the movement of the general population. According to the announcement, individuals encountered outside without a legitimate reason, such as a medical emergency, risk arrest by police.","https://hn.usembassy.gov/covid-19-information/",2020-03-16,NA,9904.608,2020-03-16,0,6,NA
"HRV","Croatia","Europe & Central Asia","High income",1,"2925","Intercity travel and vehicular traffic is suspended, with exceptions for essential workers and reasons","https://hr.usembassy.gov/covid-19-information-2/",2020-03-23,NA,4105.268,2020-03-23,0,235,NA
"HTI","Haiti","Latin America & Caribbean","Low income",1,"1601","Citizens must stay at home and limit movement to essential only","https://www.gov.uk/foreign-travel-advice/haiti/health",2020-03-20,NA,11402.533,2020-03-20,0,2,NA
"HUN","Hungary","Europe & Central Asia","High income",3,"NA","NA","NA",NA,2020-03-24,9660.35,2020-03-24,8,187,23.375
"IDN","Indonesia","East Asia & Pacific","Lower middle income",3,"NA","NA","NA",NA,2020-03-30,273523.621,2020-03-30,114,1285,11.2719298245614
"IMN","Isle of Man","Europe & Central Asia","High income",4,"NA","NA","NA",NA,NA,NA,NA,NA,NA,NA
"IND","India","South Asia","Lower middle income",3,"NA","NA","NA",NA,2020-03-22,1380004.385,2020-03-22,4,320,80
"IRL","Ireland","Europe & Central Asia","High income",1,"2910","Ireland has enforced a partial lockdown. People may only leave their homes for 3 reasons: to travel to or from work if you are providing an essential service; to shop for food; to collect medical prescriptions and medical supplies and attend medical appointments; to carry out vital services like caring (including family carers); for brief individual exercise - within 2 kilometres of your house keeping 2 metres away from others for social distancing; for farming.","https://www.gov.ie/en/news/7e0924-latest-updates-on-covid-19-coronavirus/",2020-03-28,NA,4937.796,2020-03-28,22,2121,96.4090909090909
"IRN","Iran","Middle East & North Africa","Upper middle income",2,"NA","NA","NA",NA,NA,83992.953,2020-02-25,12,61,5.08333333333333
"IRQ","Iraq","Middle East & North Africa","Upper middle income",1,"1203","24-hr curfew in Baghdad  and Kurdish region ""IKR""(until at least 24. March)","https://iq.usembassy.gov/covid-19-information/",2020-03-17,NA,40222.503,2020-03-17,9,124,13.7777777777778
"ISL","Iceland","Europe & Central Asia","High income",3,"NA","NA","NA",NA,2020-04-10,341.25,2020-04-10,6,1648,274.666666666667
"ISR","Israel","Middle East & North Africa","High income",1,"1864","mandatory lockdown: do not go outside unless absolutely necessary.","https://govextra.gov.il/ministry-of-health/corona/corona-virus-en/guidelines/#lockdown",2020-03-17,NA,8655.541,2020-03-17,0,260,NA
"ITA","Italy","Europe & Central Asia","High income",1,"1689","General lockdown across component of everyday life; businesses can continue if they implement safety measures","https://www.gazzettaufficiale.it/eli/id/2020/03/08/20A01522/sgDECRETO%20DEL%20PRESIDENTE%20DEL%20CONSIGLIO%20DEI%20MINISTRI%208%20marzo%202020",2020-03-08,NA,60461.828,2020-03-08,233,5883,25.2489270386266
