Country_or_region,GDP2018,Income,region,income_group,Matrix,pop_0_5,pop_5_10,pop_10_15,pop_15_20,pop_20_25,pop_25_30,pop_30_35,pop_35_40,pop_40_45,pop_45_50,pop_50_55,pop_55_60,pop_60_65,pop_65_70,pop_70_75,pop_75_80,pop_80_85,pop_85_90,pop_90_95,pop_95_100,pop_100+
Cabo Verde,7454.063917,LMIC,Sub-Saharan Africa,Lower middle income,15,51.932,53.144,51.053,48.884,45.959,51.886,52.533,45.753,35.784,29.122,25.257,22.655,15.414,10.959,4.731,4.325,3.896,2.082,0.56,0.054,0.005
Cambodia,4360.854404,LMIC,East Asia & Pacific,Lower middle income,12,1778.977,1751.61,1639.744,1460.325,1528.306,1589.299,1241.298,1647.97,626.899,802.188,732.822,654.662,453.519,363.257,221.238,131.207,63.482,25.586,5.785,0.757,0.04
Cameroon,3785.079978,LMIC,Sub-Saharan Africa,Lower middle income,15,4115.703,3730.323,3320.209,2856.25,2419.998,2131.789,1860.818,1539.024,1203.235,938.608,729.131,559.346,420.4,312.899,209.912,122.822,56.789,16.301,2.193,0.11,0.004
Canada,48130.25597,HIC,North America,High income,1,1993.132,1977.789,1983.001,1988.319,2363.469,2733.147,2626.365,2652.296,2463.309,2383.358,2423.48,2758.953,2562.565,2150.179,1792.853,1225.823,814.597,518.702,252.681,69.593,8.546
Central African Republic,859.9356196,LIC,Sub-Saharan Africa,Low income,15,738.242,697.367,667.354,597.254,482.771,357.219,277.127,224.208,182.948,156.581,129.029,103.567,80.954,58.107,37.685,23.821,11.481,3.491,0.523,0.033,0.002
Chad,1968.258262,LIC,Sub-Saharan Africa,Low income,15,2930.435,2522.114,2183.878,1854.85,1535.501,1245.516,989.985,779.661,610.04,472.791,362.367,292.28,236.024,181.325,112.184,68.477,33.615,11.769,2.661,0.359,0.027
Channel Islands,0,HIC,Europe & Central Asia,High income,7,8.702,8.861,8.47,9.31,10.437,11.332,11.779,12.11,11.623,13.291,13.714,12.464,10.619,9.393,7.644,5.649,4.274,2.535,1.207,0.372,0.073
Chile,25222.52778,HIC,Latin America & Caribbean,High income,13,1162.223,1265.856,1249.637,1244.242,1402.909,1592.629,1545.821,1399.583,1324.096,1254.308,1214.595,1137.676,982.299,809.488,581.299,411.827,274.26,162.146,77.228,20.356,3.731
China,18236.61298,UMIC,East Asia & Pacific,Upper middle income,12,83932.437,86735.183,84262.751,82341.859,87158.167,97989.003,128738.97,100091.455,96274.146,119837.617,123445.382,98740.491,77514.139,74149.766,44949.689,26544.616,16181.417,7581.777,2305.024,475.193,74.692
"Hong Kong SAR, China",64596.56385,HIC,East Asia & Pacific,High income,10,362.563,301.632,285.856,266.803,374.346,493.283,536.342,585.823,565.562,563.568,568.882,639.024,589.09,459.791,344.127,180.957,177.823,119.62,59.859,18.476,3.561
"Macao SAR, China",123892.1664,HIC,East Asia & Pacific,High income,12,35.933,32.884,24.392,22.442,36.025,52.307,67.616,62.186,43.958,49.444,46.928,52.687,44.803,34.191,20.659,9.222,6.575,4.394,2.079,0.539,0.078
"China, Taiwan Province of China",NA,HIC,NA,NA,12,1011.137,1041.749,975.803,1213.008,1502.279,1618.075,1621.625,1926.961,2032.452,1755.391,1806.638,1852.58,1684.376,1416.638,903.13,585.67,438.185,272.016,122.053,32.817,4.192
Colombia,15012.93027,UMIC,Latin America & Caribbean,Upper middle income,13,3710.699,3703.456,3873.485,4246.391,4421.466,4425.595,4056.807,3753.492,3421.069,3029.718,2908.465,2635.515,2086.45,1684.908,1187.636,792.125,516.269,278.541,115.655,31.139,4.003
Comoros,2913.387306,LMIC,Sub-Saharan Africa,Lower middle income,15,123.508,114.13,101.676,89.592,79.58,71.265,63.671,53.706,42.657,34.379,28.128,22.764,17.534,12.122,7.145,4.514,2.249,0.78,0.173,0.021,0.001
"Congo, Rep.",5662.063411,LMIC,Sub-Saharan Africa,Lower middle income,15,821.959,770.376,684.997,572.967,476.267,397.994,353.823,326.256,293.52,242.294,188.974,138.918,97.295,67.442,43.871,25.526,11.703,3.415,0.473,0.022,0
Costa Rica,17671.09535,UMIC,Latin America & Caribbean,Upper middle income,13,348.002,357.596,355.406,363.431,400.231,424.225,430.581,395.074,348.236,302.326,304.942,297.453,244.307,178.701,138.64,92.225,59.91,33.38,14.689,4.127,0.632
Cote d'Ivoire,4207.086934,LMIC,Sub-Saharan Africa,Lower middle income,15,4131.2,3619.086,3198.933,2905.925,2538.481,2122.513,1741.072,1431.143,1185.297,932.255,738.521,598.705,474.769,347.297,214.636,127.108,54.992,14.476,1.776,0.087,0.003
Croatia,27579.78083,HIC,Europe & Central Asia,High income,7,184.151,201.625,211.194,196.912,236.131,236.069,257.519,281.772,288.137,268.865,281.014,300.369,289.048,276.33,206.036,155.919,133.892,71.205,25.034,3.81,0.236
Cuba,0,UMIC,Latin America & Caribbean,Upper middle income,13,571.283,628.093,603.903,642.829,701.268,719.751,831.041,691.992,617.644,944.338,998.474,968.821,606.994,567.028,449.129,355.078,229.564,121.626,56.178,18.439,3.143
Curacao,27743.07005,HIC,Latin America & Caribbean,High income,13,8.996,10.335,10.497,11.077,9.501,10.037,9.328,9.395,9.236,11.045,11.639,12.787,11.234,9.471,7.787,5.218,3.516,1.911,0.795,0.249,0.046
Cyprus,0,HIC,Europe & Central Asia,High income,7,64.817,67.576,67.755,73.902,93.462,98.34,96.456,91.933,87.237,79.391,75.782,71.756,64.989,55.412,45.844,32.837,23.171,11.479,4.269,0.854,0.099
Czechia,39743.59709,HIC,Europe & Central Asia,High income,7,558.81,554.836,573.613,487.718,471.397,633.942,716.916,761.294,930.407,867.947,693.997,657.273,643.722,680.895,612.775,418.324,235.463,143.813,54.174,11.279,0.387
"Korea, Dem. People’s Rep.",0,LIC,East Asia & Pacific,Low income,12,1746.093,1684.278,1684.99,1876.239,1940.873,1984.843,1851.025,1790.869,1556.431,2157.885,2140.489,1482.297,1472.517,662.166,745.082,558.877,308.657,105.826,25.428,3.683,0.267
"Congo, Dem. Rep.",932.1720068,LIC,Sub-Saharan Africa,Low income,15,15827.439,13659.867,11527.51,9472.51,7729.713,6439.523,5340.933,4421.401,3629.088,2976.441,2421.737,1925.266,1486.411,1099.43,789.01,479.676,232.525,81.751,18.575,2.419,0.179
Denmark,55671.16527,HIC,Europe & Central Asia,High income,7,308.596,297.433,337.045,338.903,373.946,402.016,355.016,317.274,360.966,377.241,421.735,388.391,345.703,308.827,351.301,234.837,147.182,78.137,36.193,10.135,1.326
Djibouti,0,LMIC,Middle East & North Africa,Lower middle income,15,99.162,97.948,88.543,90.777,90.208,87.12,86.291,76.125,66.787,54.135,42.4,35.677,26.328,18.006,13.937,8.393,4.165,1.563,0.382,0.051,0.004
Dominican Republic,17748.18532,UMIC,Latin America & Caribbean,Upper middle income,13,1002.829,996.519,977.245,958.63,939.563,914.754,825.573,738.809,668.263,606.226,541.435,472.9,388.564,293.575,204.15,137.35,94.846,52.907,23.314,8.053,2.399
Ecuador,11734.38739,UMIC,Latin America & Caribbean,Upper middle income,13,1667.087,1610.643,1555.045,1560.94,1566.534,1469.654,1363.153,1229.686,1099.016,989.224,864.304,726.835,601.634,486.104,328.07,242.054,152.26,82.385,35.077,10.846,2.509
Egypt,12412.3094,LMIC,Middle East & North Africa,Lower middle income,15,12697.212,12331.328,9684.339,8701.092,8416.595,8094.535,8065.175,7133.174,6040.505,4908.097,4213.235,3631.657,2961.315,2161.342,1665.619,865.361,483.976,209.595,59,10.284,0.967
El Salvador,8331.804142,LMIC,Latin America & Caribbean,Lower middle income,13,576.216,570.607,577.896,587.927,633.084,582.73,474.241,408.201,381.604,343.538,303.127,264.944,220.967,185.329,139.605,108.786,74.608,37.717,12.339,2.5,0.235
Equatorial Guinea,22743.82443,UMIC,Sub-Saharan Africa,Upper middle income,15,199.653,172.01,144.346,120.951,138.192,148.193,143.663,105.318,68.702,46.66,37.187,25.03,19.668,15.211,9.124,5.597,2.536,0.823,0.115,0.006,0
Eritrea,0,LIC,Sub-Saharan Africa,Low income,15,495.07,476.7,486.693,373.932,285.247,286.989,269.281,191.483,141.245,139.597,88.101,83.849,68.421,59.906,47.223,29.859,15.2,5.761,1.548,0.294,0.028
Estonia,35973.77646,HIC,Europe & Central Asia,High income,7,69.176,74.485,75.193,62.295,58.008,87.546,101.57,92.061,88.573,96.365,76.415,88.868,85.725,83.747,53.147,54.282,43.508,23.427,10.146,1.864,0.138
Eswatini,10637.84173,LMIC,Sub-Saharan Africa,Lower middle income,15,143.677,142.943,147.779,129.239,112.817,100.07,82.554,78.775,60.204,44.195,29.594,22.123,19.639,16.883,13.551,9.034,4.904,1.779,0.361,0.04,0.003
Ethiopia,2022.137961,LIC,Sub-Saharan Africa,Low income,15,16791.484,15246.064,13853.199,12975.795,11746.856,9692.189,7518.893,6273.985,4933.945,4104.708,3228.746,2475.32,2056.264,1568.29,1188.435,740.933,371.805,152.113,38.737,5.378,0.444
Fiji,10879.47846,UMIC,East Asia & Pacific,Upper middle income,12,89.39,87.75,82.927,75.208,71.883,70.062,66.837,68.117,57.042,49.481,47.401,44.036,34.16,22.959,15.417,8.216,4.051,1.222,0.257,0.026,0.002
Finland,48416.93603,HIC,Europe & Central Asia,High income,4,264.132,304.547,310.362,296.298,313.253,359.1,347.432,359.148,345.452,314.108,351.007,369.548,356.648,355.677,357.602,225.386,159.123,96.401,44.211,10.308,0.975
France,45342.39574,HIC,Europe & Central Asia,High income,9,3619.987,3907.487,3995.688,3887.789,3697.019,3674.01,3941.533,4069.517,3943.397,4382.27,4363.401,4271.656,3973.248,3791.538,3523.616,2204.088,1812.327,1329.814,664.899,200.785,19.443
French Guiana,NA,UMIC*,NA,NA,13,35.621,30.5,28.955,28.598,25.329,20.78,18.573,20.146,19.499,17.491,14.918,11.793,9.853,7.373,4.377,2.845,1.196,0.506,0.241,0.076,0.012
French Polynesia,0,HIC,East Asia & Pacific,High income,12,20.092,19.542,22.79,21.344,21.458,18.922,22.667,20.7,18.914,20.674,18.952,16.697,12.68,10.362,5.881,4.942,2.453,1.393,0.356,0.077,0.008
Gabon,17875.76115,UMIC,Sub-Saharan Africa,Upper middle income,15,320.376,279.63,229.39,193.38,179.407,188.006,188.812,161.254,128.844,103.32,78.748,55.404,40.613,30.69,22.07,14.623,7.86,2.816,0.462,0.023,0
Gambia,2612.000995,LIC,Sub-Saharan Africa,Low income,15,409.506,352.804,299.82,257.037,228.183,200.996,160.385,122.746,97.721,76.346,65.53,50.381,34.036,25.245,19.007,11.001,4.536,1.198,0.174,0.012,0
Georgia,12004.57383,UMIC,Europe & Central Asia,Upper middle income,7,268.345,284.818,253.462,217.595,233.413,267.285,289.585,275.491,263.948,253.998,245.82,277.803,249.13,210.728,150.386,98.4,96.49,36.977,13.533,1.846,0.122
Germany,53074.54012,HIC,Europe & Central Asia,High income,3,4058.679,3822.225,3811.645,4118.971,4553.436,4823.925,5441.865,5430.155,5059.667,5183.684,6681.221,6807.172,5820.703,4823.439,3833.823,3637.591,3259.094,1635.049,758.147,204.159,19.295
Ghana,4746.684995,LMIC,Sub-Saharan Africa,Lower middle income,15,4169.436,3888.435,3479.871,3136.85,2860.336,2538.255,2266.062,1924.356,1625.913,1405.337,1189.26,945.719,667.312,423.755,298.344,158.446,69.641,21.412,3.84,0.35,0.015
Greece,29592.15242,HIC,Europe & Central Asia,High income,7,409.459,471.668,542.237,526.618,529.416,527.8,597.812,738.703,780.463,793.946,796.343,709.351,676.528,580.634,549.464,406.619,394.392,260.756,104.969,23.197,2.681
Grenada,15557.54504,UMIC,Latin America & Caribbean,Upper middle income,13,9.012,9.119,8.623,7.514,8.699,9.59,9.345,8.865,6.561,6.31,5.917,6.228,5.718,3.858,2.793,1.995,1.386,0.702,0.243,0.038,0.003
Guadeloupe,NA,UMIC*,NA,NA,13,22.897,22.097,28.714,29.799,28.16,18.718,16.279,17.481,21.521,27.786,30.74,31.462,27.039,23.53,19.38,13.562,9.728,6.399,3.344,1.192,0.299
Guam,0,HIC,East Asia & Pacific,High income,12,13.545,13.435,13.29,13.871,13.827,13.204,11.718,10.117,9.66,10.276,10.225,9.939,7.891,6.44,4.953,2.828,2.08,1.071,0.331,0.071,0.011
Guatemala,8462.374008,UMIC,Latin America & Caribbean,Upper middle income,13,2065.382,1982.085,1926.021,1945.584,1802.495,1610.664,1354.136,1177.928,956.404,745.589,583.906,469.911,392.152,326.7,221.43,161.077,108.841,58.937,21.501,4.36,0.464
Guinea,2504.869745,LIC,Sub-Saharan Africa,Low income,15,2100.111,1865.513,1687.906,1511.548,1305.025,1060.714,828.439,642.427,500.181,398.258,332.921,281.603,230.427,177.722,105.836,65.414,29.197,8.182,1.27,0.094,0.004
Guinea-Bissau,1799.067891,LIC,Sub-Saharan Africa,Low income,15,305.111,277.238,242.778,207.251,180.991,161.393,138.905,115.601,87.932,68.643,51.101,41.087,33.175,27.241,15.609,9.028,3.701,1.062,0.144,0.007,0
Guyana,8640.73737,UMIC,Latin America & Caribbean,Upper middle income,13,73.864,73.764,70.499,74.852,77.395,67.911,44.034,49.075,45.3,45.225,42.774,36.563,30.245,21.111,15.024,7.916,6.768,2.178,1.268,0.663,0.13
Haiti,1866.617589,LIC,Latin America & Caribbean,Low income,13,1262.943,1237.836,1202.069,1144.46,1065.198,979.259,905.799,825.857,627.216,479.271,423.749,365.875,292.954,230.978,150.812,109.403,61.69,26.502,8.369,1.964,0.329
Honduras,5138.752457,LMIC,Latin America & Caribbean,Lower middle income,13,1017.017,988.975,1023.648,1040.99,1014.731,890.687,783.566,687.371,579.933,467.803,381.155,298.856,237.302,182.776,122.731,82.58,55.285,31.705,13.285,3.721,0.491
Hungary,31102.50275,HIC,Europe & Central Asia,High income,7,461.142,447.424,483.361,485.846,517.943,633.747,612.164,644.978,814.684,773.529,648.151,553.237,636.319,670.113,475.771,370.805,239.744,132.075,45.781,12.918,0.618
Iceland,57303.06078,HIC,Europe & Central Asia,High income,7,20.439,22.631,23.213,21.495,22.239,25.559,23.306,23.565,21.816,21.15,20.726,21.385,20.411,17.125,13.941,9.474,6.149,4.272,1.835,0.468,0.051
India,7762.88177,LMIC,South Asia,Lower middle income,14,116879.507,117982.127,126155.952,126045.566,122504.804,117397.269,112176.098,103460.178,90219.894,79440.28,68875.962,59256.268,48890.528,38260.283,24091.443,15083.955,8489.011,3531.139,992.985,223.197,47.939
Indonesia,13079.6193,LMIC,East Asia & Pacific,Lower middle income,12,23658.296,24298.15,22984.659,23318.346,22653.27,20918.156,19973.248,21193.374,19680.74,18165.985,15954.982,13200.117,10394.846,7136.365,4617.543,2956.932,1631.677,593.134,168.993,23.245,1.563
Iran (Islamic Republic of),0,UMIC,Middle East & North Africa,Upper middle income,12,7637.559,6928.297,6217.945,5529.983,5556.228,6786.679,8466.702,8272.744,6491.321,5164.295,4618.479,3676.852,3132.274,2264.631,1448.001,906.606,551.612,277.481,56.676,8.07,0.518
Iraq,17435.85393,UMIC,Middle East & North Africa,Upper middle income,12,5380.423,5229.807,4559.181,4151.576,3799.871,3365.719,2927.362,2476.321,2150.018,1786.602,1414.995,926.157,669.716,622.677,331.945,241.773,126.606,48.393,11.524,1.67,0.167
Ireland,83203.39468,HIC,Europe & Central Asia,High income,7,313.653,358.29,356.711,312.036,289.684,277.653,310.946,384.982,395.554,367.674,312.197,288.736,249.848,230.937,196.806,133.857,88.108,45.73,18.39,5.364,0.64
Israel,39919.16965,HIC,Middle East & North Africa,High income,7,847.828,823.268,737.609,667.454,623.973,573.002,564.708,557.537,543.672,496.505,417.521,377.975,349.957,353.686,288.699,170.961,124.414,83.85,40.126,11.548,1.248
Italy,41830.42633,HIC,Europe & Central Asia,High income,8,2324.694,2670.301,2857.357,2876.091,2942.506,3160.93,3365.512,3632.922,4188.984,4833.02,4908.246,4658.946,3953.567,3531.295,3391.798,2637.11,2302.393,1397.261,639.739,172.639,16.517
Jamaica,9326.664059,UMIC,Latin America & Caribbean,Upper middle income,13,230.823,233.966,226.882,239.718,261.17,254.326,232.494,210.889,178.572,178.858,171.265,149.268,124.125,90.416,70.719,48.802,32.092,17.745,7.326,1.491,0.214
Japan,42797.45852,HIC,East Asia & Pacific,High income,7,4778.481,5401.488,5564.526,5702.645,5996.877,6150.448,6789.745,7665.671,8468.421,10004.654,8658.611,7882.904,7496.122,8379.113,9127.318,7058.057,5339.049,3630.344,1785.823,517.525,78.636
Jordan,9478.904588,UMIC,Middle East & North Africa,Upper middle income,12,1058.122,1154.441,1139.559,1040.294,940.151,862.385,777.482,713.126,606.717,534.628,433.223,322.368,217.239,149.039,111.528,79.223,43.119,16.283,3.741,0.444,0.028
Kazakhstan,27879.75195,UMIC,Europe & Central Asia,Upper middle income,7,1920.184,1947.826,1604.307,1116.616,1100.046,1473.146,1657.57,1335.925,1183.701,1102.72,977.68,1061.761,811.338,627.571,319.982,232.523,215.623,62.111,22.784,3.069,0.224
Kenya,3467.556478,LMIC,Sub-Saharan Africa,Lower middle income,15,7044.364,6969.546,6736.223,6010.656,5236.593,4357.681,4022.692,3447.454,2759.45,2143.595,1604.073,1201.53,888.215,630.611,381.067,193.272,101.724,36.394,5.808,0.343,0.009
Kiribati,2293.920333,LMIC,East Asia & Pacific,Lower middle income,12,15.16,14.303,13.438,10.194,10.897,9.627,9.061,7.543,6.24,4.933,5.432,4.556,3.028,2.113,1.462,0.868,0.373,0.148,0.056,0.012,0.002
Kuwait,72897.56235,HIC,Middle East & North Africa,High income,12,289.689,318.637,308.23,224.996,207.094,237.788,366.397,512.159,514.762,450.607,347.201,214.098,149.263,71,32.152,16.398,7.941,1.992,0.143,0.016,0
Kyrgyz Republic,3884.708809,LMIC,Europe & Central Asia,Lower middle income,7,760.255,769.195,600.626,500.075,514.389,568.551,572.187,442.518,361.459,324.976,295.973,285.462,220.069,143.755,78.619,32.595,32.507,15.592,4.435,0.897,0.056
Lao PDR,7439.59936,LMIC,East Asia & Pacific,Lower middle income,12,796.887,769.855,757.599,708.652,691.999,670.626,590.926,495.603,416.557,356.127,288.932,237.645,184.27,133.701,84.637,51.527,27.328,10.037,2.34,0.288,0.02
Latvia,30304.8525,HIC,Europe & Central Asia,High income,7,114.02,93.749,102.172,86.552,69.531,118.692,142.259,120.963,120.748,133.139,119.177,145.065,129.931,120.213,74.721,87.983,49.474,34.973,17.612,4.669,0.559
Lebanon,13081.10746,UMIC,Middle East & North Africa,Upper middle income,12,566.127,586.03,558.896,576.101,593.172,583.402,522.019,487.627,453.018,409.725,390.373,334.405,249.291,198.476,131.481,80.092,62.774,32.67,8.188,1.425,0.15
Lesotho,3219.457157,LMIC,Sub-Saharan Africa,Lower middle income,15,253.513,225.235,211.871,216.95,203.923,191.269,174.746,152.535,119.473,90.778,74.699,66.072,55.17,41.643,29.688,18.621,10.314,4.562,1.065,0.114,0.011
Liberia,1308.629536,LIC,Sub-Saharan Africa,Low income,15,740.493,678.323,623.08,551.945,463.072,377.781,334.305,295.503,245.405,198.791,158.075,125.753,97.312,71.158,45.007,31.448,15.002,4.52,0.667,0.037,0
Libya,20764.16414,UMIC,Middle East & North Africa,Upper middle income,12,623.998,661.423,623.749,561.995,542.181,553.235,585.24,578.228,564.55,484.65,371.907,245.247,163.904,120.355,79.791,59.135,33.901,13.772,3.511,0.482,0.033
Lithuania,35461.3591,HIC,Europe & Central Asia,High income,7,145.118,155.557,120.68,122.161,133.645,183.233,186.363,151.202,161.179,194.73,184.854,235.704,186.583,166.228,108.457,114.826,83.342,55.827,25.757,6.274,0.571
Luxembourg,113337.4205,HIC,Europe & Central Asia,High income,6,33.249,32.657,31.481,34.42,39.835,45.698,49.138,49.178,46.555,48.045,48.183,42.673,34.781,27.342,22.223,15.65,12.253,8.375,3.471,0.706,0.063
Madagascar,1891.320668,LIC,Sub-Saharan Africa,Low income,15,4109.427,3653.51,3330.79,3012.138,2675.744,2222.992,1829.738,1541.17,1314.071,1073.787,858.467,681.298,529.275,385.933,224.722,135.141,73.493,29.957,7.933,1.305,0.128
Malawi,1310.995555,LIC,Sub-Saharan Africa,Low income,15,2923.943,2738.576,2561.842,2176.211,1838.717,1538.801,1292.429,993.594,806.787,629.954,481.315,364.833,277.622,202.626,152.766,91.476,42.803,13.354,2.162,0.139,0.005
Malaysia,31782.15336,UMIC,East Asia & Pacific,Upper middle income,12,2635.111,2508.078,2446.026,2669.743,2863.057,2907.311,2929.646,2721.572,2095.698,1894.835,1674.475,1471.562,1223.817,927.548,657.88,367.301,229.56,103.35,31.442,6.891,1.095
